timestamp,episode,reward_mean,is_win,invalid_click_rate,win_rate_recent,epsilon,eval_avg_reward,eval_win_rate,eval_avg_steps,eval_avg_invalid_rate,eval_seconds_since_last_eval,eval_duration_seconds
2026-06-07T11:10:27.751511,15507,0.5454545454545454,1,0.0,0.96,0.02000000000000001,,,,,,
2026-06-07T11:10:39.190437,15508,0.5833333333333334,1,0.0,0.96,0.02000000000000001,,,,,,
2026-06-07T11:10:46.731157,15509,0.6666666666666666,1,0.0,0.96,0.02000000000000001,,,,,,
2026-06-07T11:10:58.036315,15510,0.5833333333333334,1,0.0,0.96,0.02000000000000001,,,,,,
2026-06-07T11:11:04.052155,15511,-0.09999999999999998,0,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:11:17.157289,15512,0.5714285714285714,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:11:27.225928,15513,0.26,0,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:11:44.323667,15514,0.55,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:11:54.443384,15515,0.6,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:12:04.541214,15516,0.6,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:12:10.606694,15517,0.75,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:12:20.630122,15518,0.6,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:12:32.058092,15519,0.5833333333333334,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:12:38.083234,15520,0.75,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:12:46.934536,15521,0.625,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:12:55.749367,15522,0.625,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:13:01.643555,15523,0.75,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:13:13.243148,15524,0.5833333333333334,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:13:31.436463,15525,0.3909090909090909,0,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:13:49.687475,15526,0.4318181818181818,1,0.09090909090909091,0.94,0.02000000000000001,,,,,,
2026-06-07T11:14:03.982059,15527,0.5625,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:14:16.871097,15528,0.5714285714285714,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:14:26.863597,15529,0.6,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:14:43.503654,15530,0.55,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:14:54.794539,15531,0.375,1,0.16666666666666666,0.94,0.02000000000000001,,,,,,
2026-06-07T11:15:06.066706,15532,0.5833333333333334,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:15:16.214202,15533,0.6,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:15:23.594218,15534,0.6666666666666666,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:15:33.658047,15535,0.6,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:15:43.693314,15536,0.6,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:15:58.363270,15537,0.5625,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:16:15.618662,15538,0.55,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:16:21.597791,15539,-0.09999999999999998,0,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:16:33.018296,15540,0.5833333333333334,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:16:45.873498,15541,0.5714285714285714,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:17:02.852161,15542,0.55,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:17:10.186315,15543,0.6666666666666666,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:17:27.543283,15544,0.55,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:17:39.072166,15545,0.5833333333333334,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:17:57.479886,15546,0.4318181818181818,1,0.09090909090909091,0.95,0.02000000000000001,,,,,,
2026-06-07T11:18:10.409539,15547,0.5714285714285714,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:18:31.828753,15548,0.5384615384615384,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:18:39.413139,15549,0.6666666666666666,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:18:47.029899,15550,0.6666666666666666,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:18:58.912089,15551,0.5833333333333334,1,0.0,0.95,0.02000000000000001,,,,,,
2026-06-07T11:19:04.914615,15552,-0.09999999999999998,0,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:19:22.069109,15553,0.55,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:19:32.344103,15554,0.6,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:19:44.056227,15555,0.5833333333333334,1,0.0,0.94,0.02000000000000001,,,,,,
2026-06-07T11:19:54.272218,15556,0.26,0,0.0,0.93,0.02000000000000001,,,,,,
2026-06-07T11:19:58.919621,15557,1.0,1,0.0,0.93,0.02000000000000001,,,,,,
2026-06-07T11:20:06.275170,15558,0.6666666666666666,1,0.0,0.93,0.02000000000000001,,,,,,
2026-06-07T11:20:16.462225,15559,0.6,1,0.0,0.93,0.02000000000000001,,,,,,
2026-06-07T11:20:39.256203,15560,0.44642857142857145,1,0.07142857142857142,0.93,0.02000000000000001,,,,,,
2026-06-07T11:20:48.037513,15561,0.625,1,0.0,0.93,0.02000000000000001,,,,,,
2026-06-07T11:20:59.965691,15562,0.5833333333333334,1,0.0,0.93,0.02000000000000001,,,,,,
2026-06-07T11:21:13.135419,15563,0.5714285714285714,1,0.0,0.93,0.02000000000000001,,,,,,
2026-06-07T11:21:17.702859,15564,1.0,1,0.0,0.93,0.02000000000000001,,,,,,
2026-06-07T11:21:24.762906,15565,0.10000000000000002,0,0.0,0.92,0.02000000000000001,,,,,,
2026-06-07T11:21:34.862251,15566,0.6,1,0.0,0.92,0.02000000000000001,,,,,,
2026-06-07T11:21:50.515168,15567,0.5555555555555556,1,0.0,0.92,0.02000000000000001,,,,,,
2026-06-07T11:22:03.544225,15568,0.5714285714285714,1,0.0,0.92,0.02000000000000001,,,,,,
2026-06-07T11:22:16.493070,15569,0.5714285714285714,1,0.0,0.92,0.02000000000000001,,,,,,
